WindowStart,WindowEnd,Months,CAGR_rule_breadth_it_us5_cap,CAGR_rule_sector_cap2_breadth_it_us5_risk_on,CAGR_rule_sector_cap2_breadth_it_us5_top2_risk_on,MDD_rule_breadth_it_us5_cap,MDD_rule_sector_cap2_breadth_it_us5_risk_on,MDD_rule_sector_cap2_breadth_it_us5_top2_risk_on,Sharpe_rule_breadth_it_us5_cap,Sharpe_rule_sector_cap2_breadth_it_us5_risk_on,Sharpe_rule_sector_cap2_breadth_it_us5_top2_risk_on
2020-01-31,2022-07-29,24,0.21897247183280322,0.2790241128714861,0.2790241128714861,-0.17130962170454944,-0.20420094175259795,-0.20420094175259795,0.9694795154036395,1.0702375098505261,1.0702375098505261
2021-04-30,2023-08-31,24,0.08800465390048662,0.15005738671413682,0.16228835107160755,-0.2524158832009177,-0.29270595691257795,-0.29270595691257795,0.5037812319286512,0.7248013641338994,0.7570630267600765
2022-07-29,2024-11-29,24,0.2863581021681756,0.4042054821545553,0.45627342742244625,-0.10115161976631959,-0.12631432951695076,-0.1393118035622144,1.4091412481785122,1.6662528504658325,1.7241953850391316
2023-08-31,2026-01-30,24,0.4854064591004337,0.6341452595116379,0.7378643787081587,-0.06677903393006812,-0.06855935572967542,-0.06185846527106831,2.140522102945474,2.141657361118753,2.151538681269067
