Variant,OneWayCostBps,CAGR,MDD,Sharpe,FinalNAV
rule_sector_cap2_breadth_it_us5_risk_on,10.0,0.42801622961554275,-0.29270595691257784,1.5776266357449382,8.475923759623955
rule_sector_cap2_breadth_it_us5_risk_on,20.0,0.41060893165994283,-0.3005761989315733,1.5283335736612549,7.874722340902552
rule_sector_cap2_breadth_it_us5_risk_on,30.0,0.3933905130492059,-0.3083701306709071,1.4789338903659643,7.315430199206071
rule_sector_cap2_breadth_it_us5_risk_on,50.0,0.35951312658984813,-0.3237315841025783,1.3798296724734302,6.311285686048144
rule_sector_cap2_breadth_it_us5_risk_on,75.0,0.31819708135529745,-0.3425153086962506,1.2554171558601517,5.24466593120699
rule_sector_cap2_breadth_it_us5_top2_risk_on,10.0,0.4704827990387175,-0.29270595691257784,1.6164977019720927,10.104863519354787
rule_sector_cap2_breadth_it_us5_top2_risk_on,20.0,0.45258744812196894,-0.3005761989315733,1.5698386428991846,9.389268570673716
rule_sector_cap2_breadth_it_us5_top2_risk_on,30.0,0.4348858770379782,-0.3083701306709071,1.5230921072922423,8.723474481326203
rule_sector_cap2_breadth_it_us5_top2_risk_on,50.0,0.4000567190243536,-0.3237315841025783,1.429349797154633,7.52789786986248
rule_sector_cap2_breadth_it_us5_top2_risk_on,75.0,0.357577781155592,-0.3425153086962506,1.3117390615349773,6.257582496745423
rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,10.0,0.49654031622878403,-0.29270595691257784,1.6612271051417917,11.227701123564417
rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,20.0,0.47848262643233497,-0.3005761989315733,1.6154618843963455,10.439143975958975
rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,30.0,0.46061871932362974,-0.3083701306709071,1.5696260667537065,9.70500883143438
rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,50.0,0.42546496880269213,-0.3237315841025783,1.4777554572336615,8.385491792206212
rule_sector_cap2_breadth_it_us5_top2_convex_risk_on,75.0,0.3825806173293289,-0.3425153086962506,1.3625774971227045,6.981523272037867
